,rho,eta.1,eta.2,delta,mu,sigma.sq,CIrho,CIeta.1,CIeta.2,CIdelta,CImu,CIsigma.sq
result.89,6.520689862,0.892623568,3.345196874,-0.464594084,-7.165715328,95.02286523,1,1,1,1,1,1
result.90,6.201742593,0.893138341,1.774179492,-2.623175894,-28.17288772,94.18152257,1,1,1,0,0,1
result.91,4.395005853,0.95356452,3.325099136,-1.001611712,-9.280006513,88.99993723,1,0,1,1,1,0
result.92,3.399881455,0.944207427,3.479925631,-2.254972975,-25.33706782,103.0824993,0,1,1,0,0,1
result.93,4.183143286,0.902961543,3.171039714,-2.381995917,-23.60292615,97.55208548,1,1,1,0,0,1
result.94,5.181237607,0.871656625,2.498157925,-2.159218093,-19.78788542,88.98407064,1,1,1,0,0,0
result.95,5.541442656,0.86349265,2.290193352,-2.303500559,-25.44548916,105.2815232,1,1,1,0,0,1
result.96,3.646049453,0.87975367,3.619376498,-2.332327203,-23.26869415,100.4469047,1,1,1,0,0,1
result.97,5.384810758,0.888386818,3.19245744,0.043615002,-4.079446807,99.50457963,1,1,1,1,1,1
result.98,5.492205031,0.879659757,2.816499059,-2.041583511,-22.39115922,103.8681629,1,1,1,0,0,1
result.99,4.427115094,0.927297056,2.809812505,-2.573296957,-27.89374075,95.89288432,1,1,1,0,0,1
result.100,5.230843401,0.962483225,2.524544305,-1.396995074,-10.2151753,99.61662495,1,0,1,1,1,1
result.101,4.832533026,0.908815673,2.071931699,-2.3082643,-26.83103539,107.0979913,1,1,1,0,0,1
result.102,5.908479219,0.871210639,3.116228801,2.534229904,13.31852522,94.21786481,1,1,1,0,1,1
result.103,4.109914362,0.947382105,3.272744658,-2.851077763,-31.63869139,87.74775065,1,0,1,1,1,0
result.104,5.13329227,0.899942628,2.378132758,-2.270763673,-24.22426862,91.8500402,1,1,1,0,0,1
result.105,5.286323282,0.925213881,2.693071938,-0.341955895,-2.269396626,105.1706798,1,1,1,1,1,1
result.106,5.252903991,0.912753677,3.445421139,-0.166487243,-5.029440791,95.32501508,1,1,1,1,1,1
result.107,4.133093031,0.966452178,2.860657437,-0.845566969,-6.936767383,101.1717112,1,0,1,1,1,1
result.108,3.41992286,0.888550098,3.862505793,-2.700393596,-25.73955376,90.8615076,1,1,1,0,0,1
result.109,5.320629999,0.889338536,2.481202646,1.209642357,6.644083479,96.35228227,1,1,1,1,1,1
result.110,4.605648374,0.929573278,3.33498002,-2.588160305,-27.80128495,97.96762317,1,1,1,1,1,1
result.111,5.16300381,0.935304015,2.064548863,-0.252112935,-0.386819572,96.55718409,1,1,1,1,1,1
result.112,7.096812704,0.85090706,2.393480929,-2.705635892,-27.45675388,99.36203775,0,1,1,0,0,1
result.113,4.750097744,0.940021857,2.587279085,-0.612731713,-4.50050502,91.59077876,1,1,1,1,1,1
result.114,4.534180245,0.925195784,4.132431238,-0.400478643,-8.061473295,90.80622768,1,1,1,1,1,1
result.115,5.13309279,0.91772904,4.335872342,-0.505414707,-7.129271344,96.18782553,1,1,1,1,1,1
result.116,4.889317476,0.944242697,2.517034824,-2.581001065,-28.58633713,99.85231186,1,1,1,0,1,1
result.117,4.286815611,0.865766969,2.547625594,-2.096492192,-23.93693777,100.0220553,1,1,1,0,0,1
